Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-11-09,3892.99,3972.66,3892.99,3972.66,5726539
2016-11-10,3994.91,4052.21,3994.91,4013.9,6038101
2016-11-14,4029.09,4038.64,3955.8,3964.29,7122537
2016-11-15,3974.22,3983.68,3957.19,3982.87,4445641
2016-11-16,3983.78,3993.17,3966.23,3988.68,6909208
2016-11-17,4003.63,4003.99,3953.83,3956.42,4445124
2016-11-18,3945.23,3947.28,3890.63,3938.24,4516953
2016-11-21,3955.02,3975.11,3939.33,3975.11,9400181
2016-11-22,3985.87,4035.96,3984.12,4035.96,5293231
2016-11-23,4044.82,4079.58,4035.7,4079.58,5182789
2016-11-24,4085.85,4112.88,4082.17,4110.03,3125993
2016-11-25,4113.26,4114.38,4083.16,4094.54,5172379
2016-11-28,4102.98,4114.58,4085.39,4096.95,5256275
2016-11-29,4113.8,4113.8,4057.32,4067.69,6601063
2016-11-30,4072.41,4104.53,4060.29,4103.49,18132516
2016-12-01,4111.67,4126.44,4097.12,4117.39,5329304
2016-12-02,4132.8,4144.43,4124.13,4140.83,4605395
2016-12-05,4159.57,4181.57,4152.06,4181.57,4257510
2016-12-06,4188.47,4207.5,4178.06,4205.76,7929892
2016-12-07,4209.67,4223.84,4167.59,4167.59,9387259
2016-12-08,4169.08,4228.28,4153.92,4228.28,9398372
